"","business_id","name","state","review_count","stars"
"197","fB7XYJYrTtchlTmzSQVMbQ","Pittsburgh Pirates","PA",10,3.5
"694","NRS-Snzp3Izblw2OmmlsuQ","Best Buy Pineville","NC",11,2.5
"767","BBo2Xa3MeC7EMuhhrSbycw","Main Library","NC",13,3.5
"1023","gfQriEp9aqLZgMhRSU5KJw","Harris Teeter","NC",11,3.5
"1172","ULvDCr7r9sMU1iSwgTHXsA","Bombay Cuisine","NC",8,3.5
"1564","yCbzzYKkPe1kfeMDdGq03Q","Enterprise Rent-A-Car","WI",10,3
"1592","SqdO4jenDHNwHeSKmULPrA","Menards","WI",9,2
"2063","4YY3AwkTbKQ2tJLzpYFD7w","ABC15, KNXV-TV Phoenix","AZ",9,4.5
"2506","yLfYR-PvIzAv9DnEH68Rgw","The Bamboo Club","AZ",13,2.5
"5169","RLwo3ykwR0ZzaU95Tpp97g","Men's Wearhouse and Tux","AZ",11,4
"5423","4r9BfViVzFsN5W-ClcvuZQ","Party City","AZ",12,3
"5492","lrSv_9iHCrbAFpPin2LcqQ","Carl's Jr","AZ",8,3.5
"6960","4md3usAFQZiNJAeTYtZ_Ow","Goodwill","NV",11,3.5
"7731","uLf-7MqldnPr1fPa9WHiqA","Adidas","NV",10,3
"8118","CGewmmQB7QqS2dhIClLghQ","St Elizabeth Ann Seton Catholic Church","NV",12,4.5
"9054","BFG2ed8LgIo5TNsrwgxu8g","Panera Bread","PA",9,3
"9423","ncYJ3e7Cd0ule7vbFnJBKw","Hibachi Grill","NC",10,3
"9715","tYPBv2JuDinWie04ZrspKw","Party City","NC",9,3
"9857","Fa32gmUQ5FxTiX7fn9_J6A","Bed Bath & Beyond","NC",12,3.5
"10947","mgtbxxT0x82Vvj1K5ql62A","Churchs Chicken","AZ",10,3.5
"11072","XJIFZ_RWp2EMduAuyhVr8Q","Starbucks","AZ",12,3
"11098","CpfGjyBi2MXgC-c5X7hSdA","Albertsons","AZ",11,3
"11136","PSAK5sUss8yiN7Q_72Zlxw","Boston Market","AZ",12,3
"11282","H3IBlFr4WTmMupkUcX7cDA","Sonic Drive-In","AZ",10,3.5
"12256","6yVe_iet5qD7SzVMhRYYog","944 Media","AZ",10,3
"12355","_dVPzYGXKNg2rIsc40VtyA","Jack-In-the Box","AZ",9,3
"12364","Hw3GaaJ6dxpYP7jy7s0UuQ","Scottsdale Historical Museum","AZ",11,4.5
"12413","ng4_UnnYPqesby9C0WVz2Q","See's Candy Shops","AZ",10,4.5
"12876","Lub4-HPEabYInC2befLfeg","Plaid Eatery","AZ",12,3
"12888","IVRfWBL3u4qD6QC4l9ne8A","Cold Stone Creamery","AZ",9,4
"13007","LwXdbxvbpW1hYQs3SyHbsg","Salvation Army","AZ",14,3
"13012","PUsrS8Ot0UBygW1hk9wg2g","Big Lots","AZ",10,3.5
"14012","dZVkAatXi1tABaHTwuS1Sg","Cashman Center","NV",16,3.5
"14834","0_0XEqWPy4LizKqzC9fc8A","Smart & Final","NV",13,4
"15269","eXaty-8Qx6_m1gHsKBKdrw","Winchell's","NV",12,4
"15593","BfwlAMnhBoPGgDnt6ikg7Q","Office Depot","NV",12,3.5
"15598","8p1hx2a-GYQAhQzP5F7yDQ","Burger King","NV",11,1.5
"15767","Pc9C4WSs2l8AKXi_S3n6nA","Ross Dress for Less","NV",11,3
"16240","-aj2RXujkYWEl8M5QMRcIg","Cold Stone Creamery","NC",10,3.5
"16893","WjObwOfyoqezSaNY_YbBOQ","BodyN'Sole","IL",10,4.5
